,kappa,producao,alcali,HS,T,kappa_t_1
0,18.3701527172384,2599.151658113952,0.1877081975770172,0.29874747745478114,465.12856338180285,18.3701527172384
1,16.34916392707559,2600.791690599165,0.18769615956179175,0.29857727097265313,465.0960220053486,18.3701527172384
2,16.33677024282777,2602.4317230843776,0.1876841215465663,0.29840706449052506,465.06348062889435,16.34916392707559
3,16.56475534527308,2604.0717555695906,0.18767208353134082,0.29823685800839705,465.0309392524401,16.33677024282777
4,16.71555656461042,2605.7117880548035,0.18766004551611537,0.29806665152626904,464.9983978759858,16.56475534527308
5,16.05850678832362,2607.351820540016,0.18764800750088992,0.297896445044141,464.9658564995316,16.71555656461042
6,17.03041274153179,2608.991853025229,0.18763596948566447,0.29772623856201297,464.9333151230773,16.05850678832362
7,16.498578383550363,2610.631885510442,0.18762393147043901,0.29755603207988496,464.90077374662303,17.03041274153179
8,16.178466375492256,2612.2719179956543,0.18761189345521356,0.29738582559775695,464.86823237016876,16.498578383550363
9,15.888623469845518,2613.9119504808673,0.18759985543998808,0.2972156191156289,464.83569099371454,16.178466375492256
10,16.956606418574726,2615.5519829660802,0.18758781742476263,0.29704541263350087,464.80314961726026,15.888623469845518
11,16.3810935285259,2617.1920154512927,0.18757577940953718,0.29687520615137286,464.770608240806,16.956606418574726
12,17.08932289138135,2618.8320479365057,0.18756374139431173,0.2967049996692448,464.73806686435177,16.3810935285259
13,17.606155384762268,2620.4720804217186,0.18755170337908628,0.2965347931871168,464.7055254878975,17.08932289138135
14,18.62598166264404,2622.112112906931,0.18753966536386082,0.2963645867049888,464.6729841114432,17.606155384762268
15,18.377963478331782,2623.752145392144,0.18752762734863535,0.2961943802228607,464.640442734989,18.62598166264404
16,18.024354682033824,2625.3921778773565,0.1875155893334099,0.2960241737407327,464.6079013585347,18.377963478331782
17,18.73046212485083,2627.0322103625695,0.18750355131818444,0.2958539672586047,464.57535998208044,18.024354682033824
18,18.654061509746963,2628.6722428477824,0.187491513302959,0.2956837607764767,464.5428186056262,18.73046212485083
19,18.260358593454505,2630.312275332995,0.18747947528773354,0.2955135542943486,464.51027722917195,18.654061509746963
20,19.608810799806243,2631.952307818208,0.18746743727250806,0.2953433478122206,464.4777358527177,18.260358593454505
21,18.989337905497596,2633.5923403034208,0.1874553992572826,0.2951731413300926,464.4451944762634,19.608810799806243
22,19.15793805291585,2635.2323727886333,0.18744336124205715,0.2950029348479645,464.4126530998092,18.989337905497596
23,19.320644485088557,2636.872405273846,0.1874313232268317,0.2948327283658365,464.3801117233549,19.15793805291585
24,19.460189654006474,2638.512437759059,0.18741928521160625,0.2946625218837085,464.3475703469006,19.320644485088557
25,20.505680147084853,2640.1524702442716,0.1874072471963808,0.29449231540158044,464.3150289704464,19.460189654006474
26,20.399406377807306,2641.7925027294846,0.18739520918115532,0.29432210891945243,464.28248759399213,20.505680147084853
27,20.673897129376616,2643.4325352146975,0.18738317116592987,0.2941519024373244,464.24994621753785,20.399406377807306
28,20.398388067808167,2645.07256769991,0.18737113315070442,0.29398169595519635,464.21740484108363,20.673897129376616
29,20.25068819487711,2646.712600185123,0.18735909513547896,0.29381148947306834,464.18486346462936,20.398388067808167
30,21.249172911170415,2648.352632670336,0.1873470571202535,0.29364128299094033,464.1523220881751,20.25068819487711
31,21.450666290405792,2649.9926651555484,0.18733501910502806,0.2934710765088123,464.11978071172086,21.249172911170415
32,21.86222375431115,2651.6326976407613,0.18732298108980258,0.29330087002668426,464.0872393352666,21.450666290405792
33,21.593078503007643,2653.2727301259742,0.18731094307457713,0.29313066354455625,464.0546979588123,21.86222375431115
34,22.319174616439447,2654.9127626111867,0.18729890505935168,0.29296045706242824,464.0221565823581,21.593078503007643
35,22.53610414490482,2656.5527950963997,0.18728686704412623,0.29279025058030017,463.9896152059038,22.319174616439447
36,21.109689285415115,2658.1928275816126,0.18727482902890077,0.29262004409817216,463.95707382944954,22.53610414490482
37,22.842665961140135,2659.832860066825,0.1872627910136753,0.29244983761604415,463.92453245299527,21.109689285415115
38,22.314916021806894,2661.472892552038,0.18725075299844984,0.2922796311339161,463.89199107654105,22.842665961140135
39,17.919789743338573,2663.112925037251,0.1872387149832244,0.2921094246517881,463.85944970008677,22.314916021806894
40,17.947570016446743,2664.7529575224635,0.18722667696799894,0.29193921816966006,463.8269083236325,17.919789743338573
41,17.98193691737311,2666.3929900076764,0.1872146389527735,0.291769011687532,463.7943669471783,17.947570016446743
42,18.06197779090796,2668.033022492889,0.18720260093754804,0.291598805205404,463.761825570724,17.98193691737311
43,18.29126599485195,2669.673054978102,0.18719056292232256,0.291428598723276,463.7292841942697,18.06197779090796
44,17.9153227198925,2671.313087463315,0.1871785249070971,0.29125839224114797,463.6967428178155,18.29126599485195
45,18.50590638333864,2672.9531199485273,0.18716648689187165,0.2910881857590199,463.66420144136123,17.9153227198925
46,18.423775887141435,2674.59315243374,0.1871544488766462,0.2909179792768919,463.63166006490695,18.50590638333864
47,16.610180055710785,2676.233184918953,0.18714241086142075,0.2907477727947639,463.59911868845273,18.423775887141435
48,16.637037084797445,2677.8732174041656,0.1871303728461953,0.2905775663126358,463.56657731199846,16.610180055710785
49,17.858733272225557,2679.5132498893786,0.18711833483096982,0.2904073598305078,463.5340359355442,16.637037084797445
50,17.889619735387512,2681.1532823745915,0.18710629681574437,0.2902371533483798,463.5014945590899,17.858733272225557
51,18.59339749550791,2682.793314859804,0.18709425880051891,0.29006694686625173,463.4689531826357,17.889619735387512
